;;;;;;;;;;;;;;;;;;;;;;;Chambre 3;;Chambre 2;;Chambre 1;
START DATE;2023-10-25 12:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
END DATE;2023-10-25 14:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
INTERVAL;10s;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;DATE;BU12;Text;T1;T2;L3;T3;T4;T5;L2;T6;T7;T8;L1;T9;T10;T11;BU11;T12;T13;V3 (in 3);V6 (out 3);V2 (in 2);V5 (out 2);V1 (in L1);V4 (out 1)
;;;;m3/h;;C;C;C;C;C;C;C;C;C;C;C;C;C;C;m3/h;C;C;1/0;1/0;1/0;1/0;1/0;1/0
;;;25-oct-23 13:01:20; 21,60  ; 10,91  ; 418,41  ; 151,35  ; 190,00  ; 531,52  ; 645,00  ; 746,77  ; 173,00  ; 435,99  ; 493,41  ; 592,01  ; 165,00  ; 386,62  ; 526,00  ; 621,00  ; 13,20  ; 820,58  ; 215,99  ;0;0;0;1;1;0
;;;25-oct-23 13:01:30; 21,60  ; 10,91  ; 418,82  ; 151,46  ; 190,00  ; 529,75  ; 645,00  ; 745,55  ; 173,00  ; 436,16  ; 494,07  ; 592,29  ; 165,00  ; 387,45  ; 527,00  ; 621,00  ; 12,20  ; 820,14  ; 215,66  ;0;0;0;1;1;0
;;;25-oct-23 13:01:40; 21,60  ; 10,91  ; 419,15  ; 151,25  ; 189,00  ; 528,85  ; 644,00  ; 744,80  ; 173,00  ; 436,65  ; 495,00  ; 592,57  ; 165,00  ; 387,90  ; 528,00  ; 621,00  ; 12,10  ; 819,55  ; 215,00  ;0;0;0;1;1;0
;;;25-oct-23 13:01:50; 21,60  ; 10,91  ; 419,37  ; 151,37  ; 189,00  ; 527,94  ; 643,00  ; 743,98  ; 173,00  ; 437,22  ; 496,04  ; 593,04  ; 165,00  ; 387,99  ; 529,00  ; 622,00  ; 11,70  ; 818,68  ; 214,52  ;0;0;0;1;1;0
;;;25-oct-23 13:02:00; 21,60  ; 10,91  ; 419,60  ; 151,37  ; 189,00  ; 527,01  ; 642,00  ; 743,40  ; 173,00  ; 438,09  ; 497,09  ; 593,69  ; 165,00  ; 388,19  ; 529,00  ; 623,00  ; 11,62  ; 817,72  ; 214,20  ;0;0;0;1;1;0
;;;25-oct-23 13:02:10; 21,61  ; 10,91  ; 419,86  ; 151,34  ; 187,00  ; 526,34  ; 636,00  ; 742,83  ; 173,00  ; 438,96  ; 498,56  ; 594,43  ; 166,00  ; 388,04  ; 532,00  ; 627,00  ; 11,30  ; 816,84  ; 213,54  ;0;0;0;1;1;0
;;;25-oct-23 13:02:20; 21,61  ; 10,91  ; 420,04  ; 151,46  ; 186,00  ; 525,83  ; 636,00  ; 742,33  ; 173,00  ; 440,21  ; 500,11  ; 595,14  ; 166,00  ; 387,72  ; 532,00  ; 627,00  ; 11,53  ; 815,64  ; 213,16  ;0;0;0;1;1;0
;;;25-oct-23 13:02:30; 21,62  ; 10,91  ; 420,20  ; 151,31  ; 186,00  ; 525,20  ; 635,00  ; 741,79  ; 173,00  ; 441,50  ; 501,71  ; 596,30  ; 166,00  ; 387,50  ; 530,00  ; 626,00  ; 13,50  ; 814,70  ; 212,90  ;0;0;0;1;1;0
;;;25-oct-23 13:02:40; 21,63  ; 10,91  ; 420,37  ; 151,36  ; 185,00  ; 524,66  ; 634,00  ; 741,21  ; 173,00  ; 442,80  ; 503,40  ; 597,22  ; 167,00  ; 386,95  ; 530,00  ; 626,00  ; 15,07  ; 813,58  ; 212,43  ;0;0;0;1;1;0
;;;25-oct-23 13:02:50; 21,63  ; 10,91  ; 420,37  ; 151,33  ; 185,00  ; 524,00  ; 634,00  ; 740,85  ; 173,00  ; 444,14  ; 505,09  ; 598,40  ; 167,00  ; 386,40  ; 529,00  ; 626,00  ; 16,10  ; 812,40  ; 212,12  ;0;0;0;1;1;0
;;;25-oct-23 13:03:00; 21,64  ; 10,91  ; 420,36  ; 151,29  ; 185,00  ; 523,59  ; 634,00  ; 740,39  ; 173,00  ; 445,91  ; 507,11  ; 599,54  ; 166,00  ; 385,49  ; 528,00  ; 625,00  ; 19,07  ; 811,24  ; 211,93  ;0;0;0;1;1;0
;;;25-oct-23 13:03:10; 21,64  ; 10,91  ; 420,48  ; 151,26  ; 184,00  ; 523,22  ; 633,00  ; 740,22  ; 174,00  ; 447,73  ; 509,01  ; 600,76  ; 167,00  ; 384,54  ; 526,00  ; 624,00  ; 22,13  ; 810,24  ; 211,62  ;0;1;0;0;1;0
;;;25-oct-23 13:03:20; 21,65  ; 10,91  ; 420,47  ; 151,23  ; 184,00  ; 523,37  ; 634,00  ; 740,44  ; 174,00  ; 448,99  ; 510,24  ; 601,84  ; 166,00  ; 383,76  ; 525,00  ; 623,00  ; 23,80  ; 809,41  ; 211,56  ;0;1;1;0;0;0
;;;25-oct-23 13:03:30; 21,66  ; 10,91  ; 420,43  ; 151,20  ; 184,00  ; 523,91  ; 634,00  ; 741,11  ; 174,00  ; 449,91  ; 510,75  ; 602,51  ; 166,00  ; 382,89  ; 524,00  ; 622,00  ; 24,80  ; 809,15  ; 211,45  ;0;1;1;0;0;0
;;;25-oct-23 13:03:40; 21,66  ; 10,91  ; 420,62  ; 151,23  ; 184,00  ; 524,71  ; 635,00  ; 741,87  ; 174,00  ; 450,47  ; 510,83  ; 603,27  ; 166,00  ; 382,13  ; 523,00  ; 622,00  ; 24,63  ; 809,44  ; 211,53  ;0;1;1;0;0;0
;;;25-oct-23 13:03:50; 21,67  ; 10,91  ; 420,76  ; 151,27  ; 184,00  ; 525,46  ; 635,00  ; 742,73  ; 174,00  ; 450,62  ; 510,54  ; 603,53  ; 166,00  ; 381,64  ; 523,00  ; 621,00  ; 26,50  ; 810,23  ; 211,53  ;0;1;1;0;0;0
;;;25-oct-23 13:04:00; 21,68  ; 10,91  ; 420,90  ; 151,30  ; 184,00  ; 526,50  ; 636,00  ; 743,70  ; 174,00  ; 450,70  ; 509,90  ; 603,53  ; 166,00  ; 381,10  ; 522,00  ; 621,00  ; 26,70  ; 811,20  ; 211,70  ;0;1;1;0;0;0
;;;25-oct-23 13:04:10; 21,68  ; 10,91  ; 421,18  ; 151,33  ; 184,00  ; 527,71  ; 637,00  ; 744,95  ; 175,00  ; 450,47  ; 509,13  ; 603,42  ; 166,00  ; 380,62  ; 522,00  ; 620,00  ; 26,65  ; 812,41  ; 211,98  ;0;1;1;0;0;0
;;;25-oct-23 13:04:20; 21,69  ; 10,91  ; 421,35  ; 151,22  ; 184,00  ; 529,08  ; 637,00  ; 746,12  ; 175,00  ; 450,16  ; 508,35  ; 602,96  ; 166,00  ; 380,06  ; 521,00  ; 620,00  ; 26,45  ; 813,58  ; 212,34  ;0;1;1;0;0;0
;;;25-oct-23 13:04:30; 21,70  ; 10,91  ; 421,60  ; 151,24  ; 184,00  ; 530,52  ; 639,00  ; 747,33  ; 175,00  ; 449,58  ; 507,17  ; 602,55  ; 166,00  ; 379,67  ; 521,00  ; 619,00  ; 27,00  ; 814,63  ; 213,01  ;0;1;1;0;0;0
;;;25-oct-23 13:04:40; 22,40  ; 10,91  ; 422,08  ; 151,23  ; 185,00  ; 531,93  ; 641,00  ; 748,74  ; 175,00  ; 448,84  ; 505,94  ; 601,76  ; 165,00  ; 378,96  ; 520,00  ; 618,00  ; 26,10  ; 816,06  ; 213,66  ;0;1;1;0;0;0
;;;25-oct-23 13:04:50; 22,39  ; 10,91  ; 422,77  ; 151,24  ; 185,00  ; 533,63  ; 643,00  ; 750,19  ; 175,00  ; 447,67  ; 504,37  ; 600,96  ; 165,00  ; 378,65  ; 519,00  ; 618,00  ; 26,30  ; 817,09  ; 214,34  ;0;1;1;0;0;0
;;;25-oct-23 13:05:00; 22,38  ; 10,91  ; 423,52  ; 151,25  ; 186,00  ; 535,35  ; 645,00  ; 751,63  ; 175,00  ; 446,68  ; 503,05  ; 600,07  ; 165,00  ; 378,18  ; 519,00  ; 617,00  ; 25,64  ; 818,03  ; 215,33  ;0;1;1;0;0;0
;;;25-oct-23 13:05:10; 22,37  ; 10,92  ; 424,27  ; 151,28  ; 187,00  ; 537,13  ; 647,00  ; 752,77  ; 175,00  ; 445,62  ; 501,45  ; 599,13  ; 165,00  ; 377,82  ; 518,00  ; 616,00  ; 26,58  ; 818,87  ; 216,18  ;0;0;1;0;0;1
;;;25-oct-23 13:05:20; 22,36  ; 10,94  ; 425,05  ; 151,25  ; 187,00  ; 538,57  ; 649,00  ; 753,55  ; 175,00  ; 444,29  ; 499,89  ; 597,94  ; 165,00  ; 377,75  ; 518,00  ; 616,00  ; 26,00  ; 819,43  ; 216,75  ;1;0;0;0;0;1
;;;25-oct-23 13:05:30; 22,35  ; 10,95  ; 425,55  ; 151,23  ; 188,00  ; 539,42  ; 650,00  ; 753,86  ; 175,00  ; 442,95  ; 498,63  ; 596,97  ; 164,00  ; 377,78  ; 519,00  ; 616,00  ; 25,20  ; 819,52  ; 217,28  ;1;0;0;0;0;1
;;;25-oct-23 13:05:40; 22,34  ; 10,97  ; 426,06  ; 151,28  ; 188,00  ; 539,98  ; 650,00  ; 754,06  ; 174,00  ; 442,12  ; 497,64  ; 596,44  ; 164,00  ; 378,18  ; 519,00  ; 616,00  ; 26,20  ; 819,76  ; 217,57  ;1;0;0;0;0;1
;;;25-oct-23 13:05:50; 22,33  ; 10,98  ; 426,76  ; 151,28  ; 189,00  ; 540,13  ; 650,00  ; 753,94  ; 174,00  ; 441,14  ; 496,94  ; 595,68  ; 164,00  ; 378,46  ; 521,00  ; 617,00  ; 22,77  ; 819,98  ; 217,78  ;1;0;0;0;0;1
;;;25-oct-23 13:06:00; 22,32  ; 10,99  ; 427,33  ; 151,23  ; 189,00  ; 540,07  ; 650,00  ; 753,68  ; 174,00  ; 440,33  ; 496,27  ; 595,17  ; 164,00  ; 378,93  ; 521,00  ; 617,00  ; 22,43  ; 820,22  ; 217,75  ;1;0;0;0;0;1
;;;25-oct-23 13:06:10; 22,32  ; 11,01  ; 427,70  ; 151,40  ; 189,00  ; 539,55  ; 649,00  ; 753,30  ; 174,00  ; 439,50  ; 495,70  ; 594,60  ; 164,00  ; 379,61  ; 521,00  ; 617,00  ; 21,57  ; 820,36  ; 217,73  ;1;0;0;0;0;1
;;;25-oct-23 13:06:20; 22,31  ; 11,02  ; 428,27  ; 151,31  ; 190,00  ; 539,03  ; 649,00  ; 752,57  ; 174,00  ; 438,93  ; 495,22  ; 594,17  ; 164,00  ; 380,23  ; 523,00  ; 617,00  ; 19,00  ; 820,51  ; 217,63  ;1;0;0;0;0;1
;;;25-oct-23 13:06:30; 22,28  ; 11,03  ; 428,74  ; 151,38  ; 190,00  ; 538,27  ; 647,00  ; 751,75  ; 174,00  ; 438,33  ; 494,83  ; 593,67  ; 164,00  ; 381,23  ; 524,00  ; 619,00  ; 14,80  ; 820,57  ; 217,52  ;1;0;0;0;0;1
;;;25-oct-23 13:06:40; 22,23  ; 11,05  ; 429,20  ; 151,27  ; 190,00  ; 537,30  ; 646,00  ; 750,90  ; 173,00  ; 437,60  ; 494,30  ; 593,15  ; 164,00  ; 382,30  ; 526,00  ; 620,00  ; 13,70  ; 820,43  ; 217,23  ;1;0;0;0;0;1
;;;25-oct-23 13:06:50; 21,00  ; 11,06  ; 429,13  ; 151,27  ; 189,00  ; 536,00  ; 645,00  ; 750,00  ; 173,00  ; 436,86  ; 493,73  ; 592,77  ; 164,00  ; 383,40  ; 526,00  ; 621,00  ; 12,80  ; 820,32  ; 216,96  ;1;0;0;0;0;1
;;;25-oct-23 13:07:00; 20,91  ; 11,08  ; 428,77  ; 151,30  ; 189,00  ; 534,70  ; 644,00  ; 748,93  ; 173,00  ; 436,37  ; 493,37  ; 592,37  ; 165,00  ; 384,53  ; 527,00  ; 621,00  ; 12,60  ; 820,17  ; 216,57  ;1;0;0;0;0;1
;;;25-oct-23 13:07:10; 20,93  ; 11,09  ; 428,19  ; 151,23  ; 189,00  ; 533,06  ; 642,00  ; 747,78  ; 173,00  ; 435,86  ; 493,20  ; 592,05  ; 165,00  ; 385,62  ; 530,00  ; 623,00  ; 12,16  ; 819,93  ; 216,11  ;1;0;0;1;0;0
;;;25-oct-23 13:07:20; 20,94  ; 11,10  ; 427,46  ; 151,32  ; 188,00  ; 531,19  ; 641,00  ; 746,62  ; 173,00  ; 435,88  ; 493,48  ; 592,07  ; 165,00  ; 386,58  ; 530,00  ; 624,00  ; 12,25  ; 819,72  ; 215,82  ;0;0;0;1;1;0
;;;25-oct-23 13:07:30; 20,95  ; 11,12  ; 426,55  ; 151,28  ; 188,00  ; 529,80  ; 639,00  ; 745,55  ; 173,00  ; 436,25  ; 494,14  ; 592,15  ; 165,00  ; 387,40  ; 532,00  ; 625,00  ; 12,00  ; 819,33  ; 215,25  ;0;0;0;1;1;0
;;;25-oct-23 13:07:40; 20,97  ; 11,13  ; 425,88  ; 151,22  ; 188,00  ; 528,67  ; 639,00  ; 744,77  ; 173,00  ; 436,43  ; 494,93  ; 592,66  ; 166,00  ; 387,64  ; 532,00  ; 626,00  ; 11,45  ; 818,77  ; 214,88  ;0;0;0;1;1;0
;;;25-oct-23 13:07:50; 20,98  ; 11,15  ; 425,13  ; 151,22  ; 187,00  ; 527,81  ; 638,00  ; 744,03  ; 172,00  ; 437,17  ; 496,07  ; 593,09  ; 166,00  ; 387,86  ; 532,00  ; 626,00  ; 11,70  ; 817,74  ; 214,36  ;0;0;0;1;1;0
;;;25-oct-23 13:08:00; 21,00  ; 11,16  ; 424,65  ; 151,22  ; 186,00  ; 526,94  ; 637,00  ; 743,34  ; 172,00  ; 438,02  ; 497,38  ; 593,66  ; 166,00  ; 387,95  ; 532,00  ; 627,00  ; 11,75  ; 816,98  ; 213,87  ;0;0;0;1;1;0
;;;25-oct-23 13:08:10; 22,10  ; 11,17  ; 424,44  ; 151,26  ; 186,00  ; 526,27  ; 636,00  ; 742,77  ; 172,00  ; 438,98  ; 498,75  ; 594,35  ; 166,00  ; 387,97  ; 532,00  ; 627,00  ; 11,40  ; 815,85  ; 213,47  ;0;0;0;1;1;0
;;;25-oct-23 13:08:20; 22,11  ; 11,19  ; 424,53  ; 151,29  ; 186,00  ; 525,71  ; 636,00  ; 742,21  ; 172,00  ; 440,17  ; 500,17  ; 595,28  ; 166,00  ; 387,61  ; 531,00  ; 627,00  ; 12,00  ; 814,63  ; 212,91  ;0;0;0;1;1;0
;;;25-oct-23 13:08:30; 22,11  ; 11,20  ; 424,75  ; 151,32  ; 185,00  ; 524,97  ; 636,00  ; 741,54  ; 172,00  ; 441,32  ; 501,69  ; 596,32  ; 166,00  ; 387,32  ; 531,00  ; 627,00  ; 12,40  ; 813,73  ; 212,59  ;0;0;0;1;1;0
;;;25-oct-23 13:08:40; 22,12  ; 11,21  ; 425,03  ; 151,21  ; 185,00  ; 524,57  ; 635,00  ; 741,07  ; 172,00  ; 442,79  ; 503,42  ; 597,36  ; 166,00  ; 386,74  ; 531,00  ; 627,00  ; 12,97  ; 812,41  ; 212,37  ;0;0;0;1;1;0
;;;25-oct-23 13:08:50; 22,12  ; 11,23  ; 425,50  ; 151,24  ; 185,00  ; 523,91  ; 635,00  ; 740,70  ; 173,00  ; 444,49  ; 505,68  ; 598,49  ; 166,00  ; 386,10  ; 531,00  ; 627,00  ; 13,90  ; 811,21  ; 212,00  ;0;0;0;1;1;0
;;;25-oct-23 13:09:00; 22,13  ; 11,24  ; 425,79  ; 151,26  ; 185,00  ; 523,42  ; 635,00  ; 740,41  ; 173,00  ; 446,30  ; 507,53  ; 599,63  ; 166,00  ; 385,42  ; 530,00  ; 627,00  ; 14,00  ; 810,27  ; 211,81  ;0;0;0;1;1;0
;;;25-oct-23 13:09:10; 22,13  ; 11,26  ; 426,39  ; 151,26  ; 185,00  ; 523,24  ; 635,00  ; 740,28  ; 173,00  ; 447,78  ; 509,23  ; 600,78  ; 166,00  ; 384,46  ; 530,00  ; 626,00  ; 14,57  ; 809,36  ; 211,56  ;0;1;0;0;1;0
;;;25-oct-23 13:09:20; 22,13  ; 11,27  ; 426,76  ; 151,34  ; 185,00  ; 523,31  ; 634,00  ; 740,46  ; 173,00  ; 449,02  ; 510,21  ; 601,82  ; 166,00  ; 383,48  ; 530,00  ; 626,00  ; 15,98  ; 808,79  ; 211,36  ;0;1;1;0;0;0
;;;25-oct-23 13:09:30; 22,14  ; 11,28  ; 427,26  ; 151,40  ; 185,00  ; 523,78  ; 634,00  ; 741,08  ; 173,00  ; 449,84  ; 510,62  ; 602,66  ; 166,00  ; 382,72  ; 530,00  ; 626,00  ; 17,90  ; 808,76  ; 211,44  ;0;1;1;0;0;0
;;;25-oct-23 13:09:40; 22,14  ; 11,30  ; 427,77  ; 151,28  ; 185,00  ; 524,64  ; 634,00  ; 741,85  ; 173,00  ; 450,32  ; 510,63  ; 603,30  ; 166,00  ; 382,15  ; 529,00  ; 626,00  ; 17,67  ; 809,35  ; 211,35  ;0;1;1;0;0;0
;;;25-oct-23 13:09:50; 22,15  ; 11,31  ; 428,16  ; 151,30  ; 184,00  ; 525,37  ; 634,00  ; 742,86  ; 173,00  ; 450,56  ; 510,34  ; 603,57  ; 166,00  ; 381,44  ; 528,00  ; 625,00  ; 19,60  ; 810,26  ; 211,56  ;0;1;1;0;0;0
;;;25-oct-23 13:10:00; 22,15  ; 11,32  ; 428,59  ; 151,33  ; 184,00  ; 526,77  ; 634,00  ; 743,77  ; 173,00  ; 450,54  ; 509,62  ; 603,53  ; 166,00  ; 380,90  ; 527,00  ; 625,00  ; 19,46  ; 811,38  ; 211,79  ;0;1;1;0;0;0
;;;25-oct-23 13:10:10; 22,16  ; 11,34  ; 428,80  ; 151,37  ; 184,00  ; 527,77  ; 638,00  ; 744,88  ; 174,00  ; 450,35  ; 509,01  ; 603,40  ; 166,00  ; 380,31  ; 522,00  ; 620,00  ; 27,90  ; 812,68  ; 211,99  ;0;1;1;0;0;0
;;;25-oct-23 13:10:20; 22,16  ; 11,35  ; 429,07  ; 151,40  ; 184,00  ; 529,11  ; 639,00  ; 746,21  ; 175,00  ; 449,93  ; 507,89  ; 602,93  ; 166,00  ; 379,93  ; 521,00  ; 619,00  ; 27,40  ; 814,11  ; 212,47  ;0;1;1;0;0;0
;;;25-oct-23 13:10:30; 22,17  ; 11,37  ; 429,51  ; 151,45  ; 184,00  ; 530,73  ; 640,00  ; 747,41  ; 175,00  ; 449,36  ; 506,79  ; 602,46  ; 165,00  ; 379,35  ; 521,00  ; 619,00  ; 28,00  ; 815,31  ; 213,03  ;0;1;1;0;0;0
;;;25-oct-23 13:10:40; 22,17  ; 11,38  ; 429,61  ; 151,31  ; 184,00  ; 532,34  ; 641,00  ; 748,73  ; 175,00  ; 448,49  ; 505,49  ; 601,69  ; 165,00  ; 378,89  ; 520,00  ; 618,00  ; 27,40  ; 816,43  ; 213,71  ;0;1;1;0;0;0
;;;25-oct-23 13:10:50; 22,18  ; 11,39  ; 429,97  ; 151,30  ; 185,00  ; 534,05  ; 641,00  ; 749,97  ; 175,00  ; 447,63  ; 504,34  ; 600,91  ; 165,00  ; 378,52  ; 520,00  ; 618,00  ; 27,83  ; 817,57  ; 214,27  ;0;1;1;0;0;0
;;;25-oct-23 13:11:00; 22,18  ; 11,41  ; 430,18  ; 151,33  ; 185,00  ; 535,82  ; 642,00  ; 751,52  ; 175,00  ; 446,59  ; 502,94  ; 599,94  ; 165,00  ; 378,15  ; 520,00  ; 618,00  ; 27,83  ; 818,61  ; 215,11  ;0;1;1;0;0;0
;;;25-oct-23 13:11:10; 22,18  ; 11,42  ; 430,51  ; 151,36  ; 185,00  ; 537,45  ; 643,00  ; 752,74  ; 175,00  ; 445,45  ; 501,51  ; 598,96  ; 165,00  ; 377,77  ; 519,00  ; 617,00  ; 27,50  ; 819,64  ; 215,94  ;0;0;1;0;0;1
;;;25-oct-23 13:11:20; 22,19  ; 11,43  ; 430,61  ; 151,38  ; 186,00  ; 538,76  ; 644,00  ; 753,47  ; 175,00  ; 444,24  ; 499,84  ; 597,74  ; 165,00  ; 377,64  ; 519,00  ; 617,00  ; 27,10  ; 820,11  ; 216,67  ;1;0;0;0;0;1
;;;25-oct-23 13:11:30; 22,19  ; 11,45  ; 430,31  ; 151,31  ; 186,00  ; 539,52  ; 644,00  ; 753,88  ; 175,00  ; 442,98  ; 498,48  ; 596,94  ; 165,00  ; 377,92  ; 519,00  ; 617,00  ; 26,50  ; 820,38  ; 217,16  ;1;0;0;0;0;1
;;;25-oct-23 13:11:40; 22,20  ; 11,46  ; 429,88  ; 151,24  ; 186,00  ; 539,91  ; 646,00  ; 753,95  ; 174,00  ; 441,88  ; 497,76  ; 596,26  ; 165,00  ; 378,11  ; 518,00  ; 617,00  ; 26,20  ; 820,74  ; 217,52  ;1;0;0;0;0;1
;;;25-oct-23 13:11:50; 22,15  ; 11,48  ; 429,31  ; 151,39  ; 187,00  ; 540,16  ; 646,00  ; 753,84  ; 174,00  ; 441,11  ; 497,02  ; 595,53  ; 165,00  ; 378,49  ; 518,00  ; 616,00  ; 26,20  ; 821,04  ; 217,71  ;1;0;0;0;0;1
;;;25-oct-23 13:12:00; 22,04  ; 11,49  ; 428,45  ; 151,33  ; 187,00  ; 540,05  ; 647,00  ; 753,38  ; 175,00  ; 440,20  ; 496,15  ; 595,05  ; 165,00  ; 379,02  ; 518,00  ; 616,00  ; 26,54  ; 820,95  ; 217,78  ;1;0;0;0;0;1
;;;25-oct-23 13:12:10; 21,05  ; 11,50  ; 427,58  ; 151,58  ; 190,00  ; 539,56  ; 649,00  ; 752,99  ; 174,00  ; 439,38  ; 495,68  ; 594,49  ; 164,00  ; 379,72  ; 522,00  ; 617,00  ; 18,30  ; 821,18  ; 217,76  ;1;0;0;0;0;1
;;;25-oct-23 13:12:20; 21,12  ; 11,52  ; 426,91  ; 151,31  ; 190,00  ; 538,93  ; 648,00  ; 752,43  ; 174,00  ; 438,61  ; 495,11  ; 594,16  ; 164,00  ; 380,47  ; 523,00  ; 618,00  ; 15,00  ; 821,19  ; 217,64  ;1;0;0;0;0;1
;;;25-oct-23 13:12:30; 21,19  ; 11,53  ; 426,03  ; 151,39  ; 190,00  ; 538,18  ; 647,00  ; 751,64  ; 174,00  ; 438,08  ; 494,54  ; 593,48  ; 164,00  ; 381,26  ; 524,00  ; 619,00  ; 14,45  ; 821,16  ; 217,35  ;1;0;0;0;0;1
;;;25-oct-23 13:12:40; 21,26  ; 11,54  ; 425,51  ; 151,33  ; 190,00  ; 536,95  ; 647,00  ; 750,85  ; 173,00  ; 437,47  ; 494,15  ; 593,15  ; 164,00  ; 382,23  ; 524,00  ; 619,00  ; 13,81  ; 821,17  ; 217,07  ;1;0;0;0;0;1
;;;25-oct-23 13:12:50; 22,30  ; 11,56  ; 425,40  ; 151,40  ; 189,00  ; 535,60  ; 646,00  ; 749,99  ; 173,00  ; 436,90  ; 493,70  ; 592,70  ; 165,00  ; 383,40  ; 526,00  ; 620,00  ; 13,80  ; 821,05  ; 216,70  ;1;0;0;0;0;1
;;;25-oct-23 13:13:00; 22,31  ; 11,57  ; 425,63  ; 151,47  ; 189,00  ; 534,19  ; 645,00  ; 748,89  ; 173,00  ; 436,33  ; 493,33  ; 592,26  ; 165,00  ; 384,44  ; 526,00  ; 620,00  ; 13,25  ; 820,81  ; 216,36  ;1;0;0;0;0;1
;;;25-oct-23 13:13:10; 22,32  ; 11,59  ; 426,24  ; 151,46  ; 189,00  ; 532,58  ; 642,00  ; 747,64  ; 173,00  ; 435,79  ; 493,04  ; 591,84  ; 165,00  ; 385,64  ; 530,00  ; 623,00  ; 12,10  ; 820,62  ; 215,98  ;1;0;0;1;0;0
;;;25-oct-23 13:13:20; 22,33  ; 11,60  ; 426,71  ; 151,40  ; 189,00  ; 530,96  ; 641,00  ; 746,38  ; 173,00  ; 435,78  ; 493,41  ; 591,96  ; 165,00  ; 386,61  ; 531,00  ; 624,00  ; 12,00  ; 820,29  ; 215,78  ;0;0;0;1;1;0
;;;25-oct-23 13:13:30; 22,34  ; 11,61  ; 427,08  ; 151,45  ; 188,00  ; 529,56  ; 640,00  ; 745,42  ; 172,00  ; 436,04  ; 493,98  ; 592,14  ; 165,00  ; 387,18  ; 531,00  ; 625,00  ; 11,73  ; 819,92  ; 215,22  ;0;0;0;1;1;0
;;;25-oct-23 13:13:40; 22,35  ; 11,63  ; 427,55  ; 151,48  ; 188,00  ; 528,61  ; 639,00  ; 744,33  ; 172,00  ; 436,59  ; 494,99  ; 592,65  ; 165,00  ; 387,72  ; 531,00  ; 625,00  ; 11,20  ; 819,21  ; 214,71  ;0;0;0;1;1;0
;;;25-oct-23 13:13:50; 22,36  ; 11,64  ; 428,01  ; 151,59  ; 187,00  ; 527,77  ; 638,00  ; 743,79  ; 172,00  ; 437,23  ; 496,11  ; 593,04  ; 165,00  ; 387,80  ; 532,00  ; 626,00  ; 11,70  ; 818,47  ; 214,19  ;0;0;0;1;1;0
;;;25-oct-23 13:14:00; 22,38  ; 11,65  ; 428,59  ; 151,32  ; 187,00  ; 526,84  ; 637,00  ; 743,06  ; 172,00  ; 437,96  ; 497,24  ; 593,68  ; 166,00  ; 387,70  ; 532,00  ; 627,00  ; 11,80  ; 817,47  ; 213,76  ;0;0;0;1;1;0
;;;25-oct-23 13:14:10; 22,39  ; 11,67  ; 428,95  ; 151,48  ; 186,00  ; 526,15  ; 636,00  ; 742,55  ; 172,00  ; 439,21  ; 498,91  ; 594,45  ; 166,00  ; 387,67  ; 531,00  ; 627,00  ; 12,17  ; 816,29  ; 213,35  ;0;0;0;1;1;0
;;;25-oct-23 13:14:20; 22,40  ; 11,68  ; 429,44  ; 151,34  ; 186,00  ; 525,68  ; 635,00  ; 742,06  ; 172,00  ; 440,36  ; 500,40  ; 595,34  ; 166,00  ; 387,48  ; 531,00  ; 627,00  ; 13,70  ; 815,16  ; 212,88  ;0;0;0;1;1;0
;;;25-oct-23 13:14:30; 21,33  ; 11,70  ; 429,90  ; 151,70  ; 185,00  ; 524,90  ; 635,00  ; 741,60  ; 173,00  ; 441,60  ; 502,10  ; 596,30  ; 166,00  ; 387,10  ; 530,00  ; 626,00  ; 13,60  ; 814,10  ; 212,50  ;0;0;0;1;1;0
;;;25-oct-23 13:14:40; 20,96  ; 11,71  ; 429,82  ; 151,47  ; 185,00  ; 524,38  ; 635,00  ; 741,14  ; 173,00  ; 443,09  ; 503,85  ; 597,32  ; 166,00  ; 386,64  ; 530,00  ; 626,00  ; 17,10  ; 812,98  ; 212,25  ;0;0;0;1;1;0
;;;25-oct-23 13:14:50; 21,04  ; 11,72  ; 429,20  ; 151,44  ; 185,00  ; 523,86  ; 634,00  ; 740,55  ; 173,00  ; 444,56  ; 505,60  ; 598,53  ; 166,00  ; 385,87  ; 528,00  ; 625,00  ; 18,66  ; 811,84  ; 211,97  ;0;0;0;1;1;0
;;;25-oct-23 13:15:00; 21,12  ; 11,74  ; 428,60  ; 151,41  ; 184,00  ; 523,30  ; 633,00  ; 740,10  ; 173,00  ; 446,31  ; 507,61  ; 599,61  ; 166,00  ; 385,20  ; 527,00  ; 625,00  ; 18,92  ; 810,79  ; 211,70  ;0;0;0;1;1;0
;;;25-oct-23 13:15:10; 21,19  ; 11,74  ; 427,77  ; 151,52  ; 184,00  ; 523,22  ; 633,00  ; 740,17  ; 173,00  ; 447,80  ; 509,20  ; 600,77  ; 166,00  ; 384,33  ; 527,00  ; 624,00  ; 22,60  ; 809,87  ; 211,51  ;0;1;0;0;1;0
